"X","Year","Age_Group","Race_Ethnicity","First_Degree_History","Age_Menarche","Age_First_Birth","Breast_Density","Hormone_Replacement_Therapy","Menopause_Status","BMI_Group","Biopsy_History","Breast_Cancer_History","Count"
3069,2015,"50-54","Other/Mixed","No","<12","25-29","Heterogeneously dense","No","Surgical Menopause","25-29.99","No","No",1
1481,2013,">85","Non-Hispanic White","No","<12","20-24","Scattered fibroglandular densities","No","Post-menopausal","25-29.99","No","Yes",3
1132,2015,"80-84","Asian/Pacific Islander","No","12-13","<20","Heterogeneously dense","No","Post-menopausal","10-24.99","No","No",1
608,2014,"60-64","Non-Hispanic White","No",">14","25-29","Almost entirely fat","No","Post-menopausal","30-34.99","No","No",10
4171,2014,"70-74","Non-Hispanic White","Yes",">14","<20","Extremely dense","No","Post-menopausal","10-24.99","Yes","Yes",1
959,2014,"45-49","Asian/Pacific Islander","No",">14",">30","Heterogeneously dense","No","Post-menopausal","25-29.99","Yes","Yes",1
3256,2015,"60-64","Non-Hispanic White","No","<12","<20","Heterogeneously dense","No","Post-menopausal","10-24.99","Yes","No",3
2247,2014,"40-44","Non-Hispanic Black","No","12-13","Nulliparous","Heterogeneously dense","No","Surgical Menopause","25-29.99","Yes","No",1
2988,2016,"65-69","Non-Hispanic Black","No","<12",">30","Heterogeneously dense","No","Post-menopausal","10-24.99","No","No",4
4451,2014,"55-59","Hispanic","No",">14",">30","Almost entirely fat","No","Post-menopausal","35+","No","No",1
3060,2017,"45-49","Hispanic","No",">14","20-24","Scattered fibroglandular densities","No","Pre- or Peri-menopausal","10-24.99","No","No",9
4599,2016,"80-84","Non-Hispanic Black","No","12-13","20-24","Almost entirely fat","No","Post-menopausal","25-29.99","No","No",1
4937,2015,">85","Asian/Pacific Islander","No","<12","20-24","Extremely dense","No","Post-menopausal","10-24.99","Yes","No",1
2276,2013,">85","Hispanic","No","<12","<20","Scattered fibroglandular densities","No","Post-menopausal","25-29.99","No","No",1
794,2013,"60-64","Non-Hispanic White","Yes","12-13",">30","Extremely dense","Yes","Post-menopausal","10-24.99","Yes","No",2
681,2015,"45-49","Hispanic","No","<12","Nulliparous","Extremely dense","No","Pre- or Peri-menopausal","30-34.99","No","No",1
1109,2013,"75-79","Non-Hispanic White","No",">14","Nulliparous","Heterogeneously dense","No","Post-menopausal","25-29.99","No","Yes",1
2323,2015,"80-84","Non-Hispanic White","Yes","12-13","20-24","Extremely dense","No","Post-menopausal","25-29.99","Yes","Yes",1
2386,2016,"65-69","Non-Hispanic White","No",">14",">30","Heterogeneously dense","No","Post-menopausal","25-29.99","No","No",25
614,2015,"45-49","Non-Hispanic Black","No","12-13","25-29","Almost entirely fat","No","Surgical Menopause","30-34.99","No","No",2
1714,2016,"70-74","Asian/Pacific Islander","No",">14",">30","Heterogeneously dense","No","Post-menopausal","25-29.99","No","No",1
3153,2015,"35-39","Asian/Pacific Islander","No",">14","20-24","Scattered fibroglandular densities","No","Pre- or Peri-menopausal","10-24.99","No","No",1
3626,2016,"80-84","Non-Hispanic White","Yes","12-13",">30","Scattered fibroglandular densities","No","Post-menopausal","25-29.99","No","Yes",1
4581,2017,"65-69","Non-Hispanic White","No","12-13","20-24","Heterogeneously dense","No","Post-menopausal","10-24.99","Yes","Yes",14
2534,2015,"45-49","Asian/Pacific Islander","No","12-13","20-24","Heterogeneously dense","No","Pre- or Peri-menopausal","25-29.99","No","No",12
1941,2016,">85","Non-Hispanic White","No","12-13","Nulliparous","Scattered fibroglandular densities","No","Post-menopausal","10-24.99","No","No",9
2803,2016,"50-54","Hispanic","No","12-13","20-24","Extremely dense","No","Surgical Menopause","25-29.99","No","No",2
3705,2017,"75-79","Non-Hispanic Black","No","12-13",">30","Heterogeneously dense","No","Post-menopausal","25-29.99","No","No",1
2093,2014,"55-59","Non-Hispanic White","No",">14","25-29","Heterogeneously dense","No","Surgical Menopause","10-24.99","No","No",21
107,2016,"45-49","Non-Hispanic White","No","<12","20-24","Extremely dense","No","Post-menopausal","25-29.99","No","No",1
26,2015,"50-54","Asian/Pacific Islander","No",">14","Nulliparous","Extremely dense","No","Post-menopausal","10-24.99","No","No",2
4144,2015,"40-44","Non-Hispanic White","Yes","<12",">30","Extremely dense","No","Pre- or Peri-menopausal","10-24.99","No","No",5
1617,2016,"65-69","Hispanic","No",">14",">30","Scattered fibroglandular densities","No","Post-menopausal","25-29.99","No","No",6
1999,2016,"40-44","Asian/Pacific Islander","No","12-13","20-24","Heterogeneously dense","No","Pre- or Peri-menopausal","25-29.99","No","No",19
3846,2016,"55-59","Non-Hispanic White","No","12-13","20-24","Scattered fibroglandular densities","No","Surgical Menopause","30-34.99","Yes","No",5
4716,2015,"55-59","Non-Hispanic White","No",">14","25-29","Heterogeneously dense","No","Surgical Menopause","30-34.99","No","No",3
1771,2013,"60-64","Other/Mixed","Yes",">14","Nulliparous","Scattered fibroglandular densities","No","Post-menopausal","25-29.99","No","No",1
890,2014,"55-59","Non-Hispanic Black","Yes","12-13","<20","Heterogeneously dense","No","Post-menopausal","35+","Yes","No",1
1843,2014,"45-49","Non-Hispanic White","Yes","12-13",">30","Scattered fibroglandular densities","No","Pre- or Peri-menopausal","25-29.99","Yes","Yes",1
578,2016,"55-59","Non-Hispanic Black","Yes","12-13","<20","Heterogeneously dense","No","Surgical Menopause","25-29.99","No","No",3
3284,2014,"45-49","Hispanic","No",">14","20-24","Heterogeneously dense","No","Post-menopausal","25-29.99","No","No",3
1843,2014,"45-49","Non-Hispanic White","Yes","12-13",">30","Scattered fibroglandular densities","No","Pre- or Peri-menopausal","25-29.99","Yes","Yes",1
3131,2017,"35-39","Non-Hispanic White","No","12-13","25-29","Heterogeneously dense","No","Surgical Menopause","10-24.99","No","No",1
2236,2015,"50-54","Non-Hispanic White","Yes","12-13","Nulliparous","Scattered fibroglandular densities","No","Pre- or Peri-menopausal","25-29.99","Yes","Yes",2
4275,2017,"45-49","Non-Hispanic Black","Yes",">14",">30","Scattered fibroglandular densities","No","Pre- or Peri-menopausal","35+","No","No",2
3076,2013,"60-64","Hispanic","No","12-13","<20","Heterogeneously dense","No","Post-menopausal","30-34.99","Yes","Yes",1
4329,2013,"70-74","Non-Hispanic Black","No",">14","<20","Scattered fibroglandular densities","No","Post-menopausal","25-29.99","No","No",42
2669,2013,"70-74","Non-Hispanic White","No","12-13","20-24","Heterogeneously dense","No","Post-menopausal","30-34.99","Yes","No",12
3689,2016,"80-84","Non-Hispanic Black","No",">14","25-29","Heterogeneously dense","No","Post-menopausal","30-34.99","No","No",1
2534,2015,"45-49","Asian/Pacific Islander","No","12-13","20-24","Heterogeneously dense","No","Pre- or Peri-menopausal","25-29.99","No","No",12
1972,2014,"80-84","Asian/Pacific Islander","No","12-13","20-24","Scattered fibroglandular densities","No","Post-menopausal","10-24.99","Yes","No",2
69,2016,"55-59","Hispanic","No",">14",">30","Heterogeneously dense","No","Post-menopausal","25-29.99","No","No",5
2554,2013,"55-59","Hispanic","Yes","12-13","<20","Heterogeneously dense","No","Post-menopausal","10-24.99","No","No",1
1131,2016,"55-59","Non-Hispanic Black","No","12-13","<20","Extremely dense","No","Pre- or Peri-menopausal","25-29.99","No","No",1
3418,2014,"45-49","Non-Hispanic White","No","12-13","Nulliparous","Heterogeneously dense","Yes","Post-menopausal","30-34.99","Yes","No",1
2463,2015,"75-79","Hispanic","No","12-13","25-29","Scattered fibroglandular densities","No","Post-menopausal","30-34.99","Yes","No",1
1556,2013,"55-59","Hispanic","No",">14",">30","Heterogeneously dense","No","Pre- or Peri-menopausal","10-24.99","Yes","No",1
4297,2014,"45-49","Non-Hispanic White","No","12-13",">30","Extremely dense","No","Pre- or Peri-menopausal","10-24.99","Yes","Yes",4
926,2015,"70-74","Non-Hispanic Black","No",">14","<20","Scattered fibroglandular densities","No","Post-menopausal","25-29.99","Yes","No",7
1559,2017,"40-44","Non-Hispanic White","No","<12","25-29","Scattered fibroglandular densities","No","Pre- or Peri-menopausal","25-29.99","No","No",27
705,2017,"45-49","Native American","No","12-13","20-24","Heterogeneously dense","No","Pre- or Peri-menopausal","30-34.99","Yes","No",1
3590,2014,"80-84","Non-Hispanic White","No",">14","Nulliparous","Almost entirely fat","No","Post-menopausal","10-24.99","No","Yes",1
1044,2014,"70-74","Non-Hispanic Black","No","12-13","20-24","Heterogeneously dense","No","Post-menopausal","25-29.99","Yes","No",11
324,2016,"40-44","Hispanic","No","<12","25-29","Heterogeneously dense","No","Pre- or Peri-menopausal","35+","No","No",7
1404,2017,"50-54","Non-Hispanic Black","No","12-13","25-29","Heterogeneously dense","No","Surgical Menopause","25-29.99","No","No",3
4664,2015,"40-44","Hispanic","No",">14","<20","Heterogeneously dense","No","Pre- or Peri-menopausal","25-29.99","Yes","No",1
275,2016,"75-79","Non-Hispanic Black","No","12-13","25-29","Heterogeneously dense","No","Post-menopausal","35+","Yes","No",2
711,2014,"45-49","Asian/Pacific Islander","No",">14",">30","Almost entirely fat","No","Pre- or Peri-menopausal","35+","No","No",1
1972,2014,"80-84","Asian/Pacific Islander","No","12-13","20-24","Scattered fibroglandular densities","No","Post-menopausal","10-24.99","Yes","No",2
2024,2015,"30-34","Non-Hispanic White","Yes","12-13","20-24","Scattered fibroglandular densities","No","Pre- or Peri-menopausal","25-29.99","Yes","No",1
1895,2014,"50-54","Non-Hispanic White","No","12-13",">30","Heterogeneously dense","No","Post-menopausal","10-24.99","Yes","No",33
2503,2013,"80-84","Hispanic","No",">14","Nulliparous","Scattered fibroglandular densities","No","Post-menopausal","25-29.99","Yes","No",1
4355,2016,"70-74","Non-Hispanic White","Yes","<12","25-29","Heterogeneously dense","No","Post-menopausal","10-24.99","Yes","No",5
488,2017,"75-79","Hispanic","No","12-13","20-24","Almost entirely fat","No","Post-menopausal","25-29.99","No","No",1
4209,2015,"45-49","Non-Hispanic Black","No","12-13","20-24","Heterogeneously dense","No","Pre- or Peri-menopausal","10-24.99","No","No",20
3636,2013,"65-69","Asian/Pacific Islander","Yes","12-13","Nulliparous","Extremely dense","No","Post-menopausal","30-34.99","No","No",1
1131,2016,"55-59","Non-Hispanic Black","No","12-13","<20","Extremely dense","No","Pre- or Peri-menopausal","25-29.99","No","No",1
4153,2015,"45-49","Asian/Pacific Islander","No","<12","Nulliparous","Scattered fibroglandular densities","No","Pre- or Peri-menopausal","25-29.99","Yes","No",2
1164,2014,"55-59","Non-Hispanic Black","Yes",">14","20-24","Scattered fibroglandular densities","No","Pre- or Peri-menopausal","25-29.99","No","No",1
4114,2015,"80-84","Non-Hispanic White","No",">14","20-24","Almost entirely fat","No","Post-menopausal","10-24.99","No","Yes",1
3757,2016,"50-54","Non-Hispanic White","No","12-13","20-24","Heterogeneously dense","No","Pre- or Peri-menopausal","30-34.99","Yes","No",2
3263,2016,"55-59","Non-Hispanic Black","No","<12","<20","Heterogeneously dense","No","Post-menopausal","10-24.99","Yes","No",1
3287,2013,"65-69","Asian/Pacific Islander","No","12-13","25-29","Heterogeneously dense","No","Post-menopausal","25-29.99","Yes","No",4
3462,2013,"70-74","Non-Hispanic White","No","12-13","<20","Almost entirely fat","No","Post-menopausal","25-29.99","Yes","No",3
1444,2015,"60-64","Non-Hispanic White","Yes","12-13","Nulliparous","Scattered fibroglandular densities","No","Post-menopausal","10-24.99","Yes","Yes",5
4494,2015,"65-69","Hispanic","Yes","<12","25-29","Scattered fibroglandular densities","No","Post-menopausal","25-29.99","No","No",1
841,2015,"55-59","Hispanic","Yes","<12","Nulliparous","Heterogeneously dense","No","Post-menopausal","10-24.99","No","No",1
4767,2013,">85","Non-Hispanic White","No",">14",">30","Almost entirely fat","No","Post-menopausal","25-29.99","Yes","Yes",2
2808,2014,"30-34","Non-Hispanic White","No",">14","20-24","Scattered fibroglandular densities","No","Pre- or Peri-menopausal","35+","No","No",1
233,2014,"50-54","Non-Hispanic White","No","<12","25-29","Heterogeneously dense","No","Post-menopausal","35+","Yes","Yes",1
1509,2015,"50-54","Non-Hispanic White","No","<12","<20","Extremely dense","No","Pre- or Peri-menopausal","25-29.99","No","No",1
1264,2017,"45-49","Asian/Pacific Islander","Yes",">14","Nulliparous","Heterogeneously dense","No","Pre- or Peri-menopausal","30-34.99","No","No",1
1956,2017,"55-59","Hispanic","No","12-13","20-24","Extremely dense","No","Post-menopausal","10-24.99","No","No",2
1877,2015,"45-49","Non-Hispanic White","No","<12","Nulliparous","Heterogeneously dense","No","Post-menopausal","30-34.99","No","No",1
2973,2014,"45-49","Native American","Yes","12-13",">30","Heterogeneously dense","No","Pre- or Peri-menopausal","10-24.99","Yes","No",1
437,2016,"45-49","Non-Hispanic Black","No",">14","<20","Heterogeneously dense","No","Surgical Menopause","35+","No","No",3
2338,2015,"55-59","Hispanic","No",">14","<20","Heterogeneously dense","No","Post-menopausal","30-34.99","Yes","No",3
2724,2016,"70-74","Non-Hispanic Black","No",">14","Nulliparous","Heterogeneously dense","No","Post-menopausal","25-29.99","No","No",2
3873,2016,"40-44","Non-Hispanic White","Yes","12-13","Nulliparous","Almost entirely fat","No","Pre- or Peri-menopausal","35+","No","No",2
4851,2016,"45-49","Non-Hispanic White","Yes",">14","25-29","Extremely dense","No","Pre- or Peri-menopausal","10-24.99","Yes","No",2
4377,2013,"65-69","Hispanic","No","<12","20-24","Almost entirely fat","No","Post-menopausal","25-29.99","No","No",2
455,2016,"70-74","Non-Hispanic White","Yes","12-13","25-29","Heterogeneously dense","No","Post-menopausal","25-29.99","No","Yes",1
4224,2015,"80-84","Non-Hispanic Black","No","<12","<20","Heterogeneously dense","No","Post-menopausal","25-29.99","No","No",2
794,2013,"60-64","Non-Hispanic White","Yes","12-13",">30","Extremely dense","Yes","Post-menopausal","10-24.99","Yes","No",2
4159,2014,">85","Asian/Pacific Islander","No","12-13","20-24","Heterogeneously dense","No","Post-menopausal","10-24.99","No","Yes",1
3026,2013,"65-69","Non-Hispanic White","No","<12","25-29","Scattered fibroglandular densities","No","Post-menopausal","35+","No","Yes",1
693,2016,"45-49","Hispanic","Yes","12-13",">30","Extremely dense","No","Pre- or Peri-menopausal","10-24.99","Yes","No",1
1731,2017,"60-64","Non-Hispanic White","No",">14","20-24","Heterogeneously dense","No","Post-menopausal","30-34.99","Yes","No",3
1150,2015,"70-74","Asian/Pacific Islander","No","12-13","20-24","Heterogeneously dense","No","Post-menopausal","30-34.99","Yes","Yes",1
1460,2014,"35-39","Non-Hispanic Black","Yes","<12","25-29","Scattered fibroglandular densities","No","Pre- or Peri-menopausal","25-29.99","Yes","No",1
4431,2014,"55-59","Hispanic","No","<12","20-24","Scattered fibroglandular densities","No","Surgical Menopause","10-24.99","No","No",2
32,2014,"60-64","Hispanic","No","<12","Nulliparous","Scattered fibroglandular densities","No","Post-menopausal","30-34.99","Yes","No",1
1292,2017,"45-49","Hispanic","No","<12",">30","Extremely dense","No","Pre- or Peri-menopausal","10-24.99","Yes","No",1
1328,2014,"70-74","Non-Hispanic White","No","<12","25-29","Scattered fibroglandular densities","No","Post-menopausal","35+","No","No",13
1855,2014,"55-59","Asian/Pacific Islander","No","12-13","<20","Scattered fibroglandular densities","No","Post-menopausal","10-24.99","Yes","No",2
2476,2017,"80-84","Non-Hispanic White","No",">14","25-29","Almost entirely fat","No","Post-menopausal","10-24.99","Yes","Yes",1
1394,2015,"18-29","Non-Hispanic White","Yes","<12","25-29","Extremely dense","No","Pre- or Peri-menopausal","25-29.99","No","No",1
569,2015,"40-44","Non-Hispanic White","No","12-13","Nulliparous","Scattered fibroglandular densities","No","Pre- or Peri-menopausal","35+","Yes","Yes",2
3027,2014,"50-54","Non-Hispanic White","Yes","<12","25-29","Scattered fibroglandular densities","No","Post-menopausal","10-24.99","No","No",1
573,2013,"55-59","Non-Hispanic White","Yes","12-13","20-24","Scattered fibroglandular densities","No","Post-menopausal","25-29.99","No","Yes",2
4219,2016,"45-49","Non-Hispanic Black","Yes","12-13","<20","Scattered fibroglandular densities","No","Post-menopausal","30-34.99","Yes","No",1
1266,2017,"55-59","Native American","No",">14","25-29","Scattered fibroglandular densities","No","Post-menopausal","10-24.99","No","No",1
1171,2015,"55-59","Non-Hispanic White","No","<12","25-29","Scattered fibroglandular densities","No","Post-menopausal","30-34.99","Yes","No",7
530,2016,"40-44","Non-Hispanic Black","No","12-13",">30","Scattered fibroglandular densities","No","Surgical Menopause","30-34.99","No","No",1
3190,2014,"55-59","Non-Hispanic White","Yes",">14",">30","Extremely dense","No","Pre- or Peri-menopausal","10-24.99","Yes","Yes",1
1707,2016,"50-54","Non-Hispanic White","No","12-13","25-29","Scattered fibroglandular densities","Yes","Post-menopausal","10-24.99","No","No",2
4814,2013,"65-69","Non-Hispanic White","No","12-13","Nulliparous","Extremely dense","No","Post-menopausal","35+","Yes","No",2
1525,2017,"50-54","Non-Hispanic Black","Yes","<12",">30","Scattered fibroglandular densities","No","Pre- or Peri-menopausal","35+","No","No",2
1100,2016,"60-64","Asian/Pacific Islander","No","12-13","25-29","Scattered fibroglandular densities","No","Post-menopausal","25-29.99","Yes","Yes",2
2023,2015,"65-69","Non-Hispanic Black","No","<12","Nulliparous","Scattered fibroglandular densities","No","Post-menopausal","30-34.99","No","No",13
3058,2014,"55-59","Non-Hispanic White","No","<12",">30","Heterogeneously dense","No","Post-menopausal","10-24.99","Yes","Yes",2
3131,2017,"35-39","Non-Hispanic White","No","12-13","25-29","Heterogeneously dense","No","Surgical Menopause","10-24.99","No","No",1
2215,2014,"50-54","Non-Hispanic White","Yes",">14","25-29","Extremely dense","No","Pre- or Peri-menopausal","30-34.99","Yes","No",1
2220,2016,"45-49","Non-Hispanic White","No","12-13",">30","Scattered fibroglandular densities","No","Surgical Menopause","25-29.99","No","Yes",1
2609,2013,"65-69","Non-Hispanic White","Yes","12-13",">30","Scattered fibroglandular densities","No","Post-menopausal","25-29.99","Yes","No",8
3584,2016,"65-69","Other/Mixed","No","12-13","20-24","Almost entirely fat","No","Post-menopausal","10-24.99","No","No",1
4621,2017,"50-54","Non-Hispanic White","No","12-13","20-24","Scattered fibroglandular densities","No","Pre- or Peri-menopausal","10-24.99","Yes","No",8
262,2015,"45-49","Non-Hispanic Black","No","12-13","Nulliparous","Scattered fibroglandular densities","No","Pre- or Peri-menopausal","30-34.99","No","No",26
91,2017,"45-49","Non-Hispanic Black","Yes","<12","25-29","Heterogeneously dense","No","Surgical Menopause","30-34.99","No","No",2
1820,2016,"75-79","Non-Hispanic Black","Yes",">14",">30","Heterogeneously dense","No","Post-menopausal","10-24.99","No","No",2
461,2015,"50-54","Non-Hispanic Black","No",">14","20-24","Scattered fibroglandular densities","No","Post-menopausal","30-34.99","No","No",6
1330,2013,"55-59","Other/Mixed","No",">14","20-24","Heterogeneously dense","No","Post-menopausal","25-29.99","No","No",1
3543,2015,"50-54","Asian/Pacific Islander","No",">14","Nulliparous","Heterogeneously dense","No","Pre- or Peri-menopausal","10-24.99","Yes","No",2
3061,2017,"70-74","Non-Hispanic Black","No","<12","Nulliparous","Heterogeneously dense","No","Post-menopausal","30-34.99","No","Yes",1
1778,2015,"65-69","Non-Hispanic Black","Yes",">14","20-24","Almost entirely fat","No","Post-menopausal","35+","No","No",2
2444,2015,"70-74","Non-Hispanic White","No",">14",">30","Scattered fibroglandular densities","No","Post-menopausal","30-34.99","Yes","Yes",1
166,2014,"70-74","Asian/Pacific Islander","No",">14","Nulliparous","Heterogeneously dense","No","Post-menopausal","25-29.99","No","No",5
694,2017,"80-84","Native American","Yes","12-13","25-29","Almost entirely fat","No","Post-menopausal","25-29.99","No","No",1
3817,2014,"50-54","Hispanic","No","<12","Nulliparous","Extremely dense","No","Surgical Menopause","10-24.99","No","No",1
4748,2016,"45-49","Non-Hispanic Black","No","12-13",">30","Extremely dense","No","Pre- or Peri-menopausal","30-34.99","No","No",1
2930,2014,"80-84","Non-Hispanic Black","No",">14","20-24","Scattered fibroglandular densities","No","Post-menopausal","10-24.99","No","No",7
2368,2016,"70-74","Non-Hispanic Black","No","12-13","20-24","Heterogeneously dense","No","Post-menopausal","35+","Yes","Yes",2
2628,2015,"50-54","Non-Hispanic Black","Yes","<12","25-29","Almost entirely fat","No","Pre- or Peri-menopausal","35+","No","No",1
2691,2016,"80-84","Non-Hispanic White","No",">14","Nulliparous","Scattered fibroglandular densities","No","Post-menopausal","10-24.99","Yes","Yes",1
1911,2015,"55-59","Asian/Pacific Islander","Yes","<12","25-29","Heterogeneously dense","No","Surgical Menopause","25-29.99","No","No",1
152,2013,"55-59","Non-Hispanic White","Yes",">14",">30","Scattered fibroglandular densities","No","Post-menopausal","10-24.99","Yes","No",2
2554,2013,"55-59","Hispanic","Yes","12-13","<20","Heterogeneously dense","No","Post-menopausal","10-24.99","No","No",1
1738,2016,"40-44","Non-Hispanic Black","No","12-13","<20","Heterogeneously dense","No","Pre- or Peri-menopausal","30-34.99","No","No",29
1476,2014,"40-44","Non-Hispanic White","No","12-13","Nulliparous","Heterogeneously dense","No","Pre- or Peri-menopausal","10-24.99","Yes","No",21
2586,2016,"75-79","Asian/Pacific Islander","Yes",">14","25-29","Heterogeneously dense","No","Post-menopausal","25-29.99","No","No",2
952,2015,"50-54","Non-Hispanic Black","Yes","12-13","25-29","Scattered fibroglandular densities","No","Post-menopausal","25-29.99","No","No",1
161,2014,"50-54","Non-Hispanic White","No",">14","Nulliparous","Extremely dense","Yes","Post-menopausal","10-24.99","No","No",4
2281,2015,"35-39","Non-Hispanic White","No","<12","25-29","Heterogeneously dense","No","Pre- or Peri-menopausal","35+","No","No",3
3216,2017,"55-59","Non-Hispanic White","No",">14",">30","Almost entirely fat","No","Surgical Menopause","30-34.99","Yes","No",1
2021,2014,"45-49","Non-Hispanic Black","No","12-13","25-29","Scattered fibroglandular densities","No","Surgical Menopause","30-34.99","No","No",6
296,2016,"70-74","Native American","No","12-13","25-29","Heterogeneously dense","No","Post-menopausal","25-29.99","Yes","No",1
4916,2013,"55-59","Non-Hispanic Black","No","12-13","<20","Almost entirely fat","No","Post-menopausal","25-29.99","Yes","No",1
2178,2016,"75-79","Non-Hispanic White","Yes",">14","<20","Scattered fibroglandular densities","No","Post-menopausal","25-29.99","No","No",2
3060,2017,"45-49","Hispanic","No",">14","20-24","Scattered fibroglandular densities","No","Pre- or Peri-menopausal","10-24.99","No","No",9
4437,2015,"65-69","Hispanic","No","12-13","20-24","Scattered fibroglandular densities","No","Post-menopausal","10-24.99","No","No",13
3342,2014,"50-54","Other/Mixed","Yes","12-13",">30","Scattered fibroglandular densities","No","Post-menopausal","25-29.99","No","No",1
4404,2016,"45-49","Native American","No",">14",">30","Heterogeneously dense","No","Pre- or Peri-menopausal","25-29.99","No","No",1
3453,2017,"75-79","Non-Hispanic Black","Yes","12-13","20-24","Almost entirely fat","No","Post-menopausal","30-34.99","No","No",2
836,2016,"55-59","Non-Hispanic White","No","12-13","20-24","Almost entirely fat","No","Surgical Menopause","25-29.99","No","No",2
2915,2014,"80-84","Hispanic","No","12-13",">30","Scattered fibroglandular densities","No","Post-menopausal","25-29.99","No","No",2
1039,2013,"75-79","Other/Mixed","Yes",">14","20-24","Heterogeneously dense","No","Post-menopausal","10-24.99","Yes","No",1
3080,2017,"40-44","Non-Hispanic White","No","12-13","<20","Almost entirely fat","No","Pre- or Peri-menopausal","35+","No","No",6
817,2017,"55-59","Hispanic","No","<12","20-24","Scattered fibroglandular densities","No","Surgical Menopause","25-29.99","No","No",1
4420,2016,"45-49","Non-Hispanic White","No","12-13",">30","Extremely dense","No","Pre- or Peri-menopausal","10-24.99","Yes","No",55
4268,2013,"60-64","Non-Hispanic White","No","<12","<20","Scattered fibroglandular densities","Yes","Post-menopausal","10-24.99","No","No",1
3518,2014,"75-79","Non-Hispanic Black","No",">14","20-24","Scattered fibroglandular densities","No","Post-menopausal","25-29.99","No","No",28
2709,2017,"35-39","Hispanic","No","<12",">30","Extremely dense","No","Pre- or Peri-menopausal","35+","Yes","No",1
3172,2016,"60-64","Hispanic","No","<12",">30","Heterogeneously dense","Yes","Post-menopausal","10-24.99","No","No",1
2934,2017,"55-59","Non-Hispanic Black","No","<12","25-29","Scattered fibroglandular densities","No","Surgical Menopause","10-24.99","Yes","Yes",1
4150,2013,"75-79","Non-Hispanic White","No","12-13",">30","Almost entirely fat","No","Post-menopausal","30-34.99","No","Yes",1
3216,2017,"55-59","Non-Hispanic White","No",">14",">30","Almost entirely fat","No","Surgical Menopause","30-34.99","Yes","No",1
693,2016,"45-49","Hispanic","Yes","12-13",">30","Extremely dense","No","Pre- or Peri-menopausal","10-24.99","Yes","No",1
1846,2017,"50-54","Non-Hispanic White","Yes","<12","Nulliparous","Heterogeneously dense","No","Pre- or Peri-menopausal","25-29.99","Yes","No",1
3729,2016,"55-59","Non-Hispanic Black","No","<12","20-24","Heterogeneously dense","No","Post-menopausal","25-29.99","Yes","Yes",1
